-180,-180,-613.7879394
-180,-165,-613.7854942
-180,-150,-613.7827874
-180,-135,-613.7800633
-180,-120,-613.7777814
-180,-105,-613.7762661
-180,-90,-613.7758121
-180,-75,-613.7770839
-180,-60,-613.7793207
-180,-45,-613.781064
-180,-30,-613.7814313
-180,-15,-613.7767799
-180,0,-613.7795395
-180,15,-613.7815783
-180,30,-613.7825203
-180,45,-613.7825293
-180,60,-613.7818738
-180,75,-613.7815976
-180,90,-613.7823855
-180,105,-613.7843424
-180,120,-613.7867762
-180,135,-613.7888269
-180,150,-613.7898707
-180,165,-613.7895704
-180,180,-613.7879394
-165,-180,-613.7895411
-165,-165,-613.78725
-165,-150,-613.7845032
-165,-135,-613.7815357
-165,-120,-613.7790724
-165,-105,-613.7774277
-165,-90,-613.7772171
-165,-75,-613.778722
-165,-60,-613.7806396
-165,-45,-613.782085
-165,-30,-613.7821957
-165,-15,-613.7809507
-165,0,-613.7834199
-165,15,-613.7850726
-165,30,-613.7857063
-165,45,-613.7853928
-165,60,-613.7845916
-165,75,-613.7841992
-165,90,-613.7848374
-165,105,-613.7864713
-165,120,-613.788534
-165,135,-613.7903775
-165,150,-613.791259
-165,165,-613.7909847
-165,180,-613.7895411
-150,-180,-613.789932
-150,-165,-613.7877124
-150,-150,-613.78494
-150,-135,-613.7819865
-150,-120,-613.7795394
-150,-105,-613.7779955
-150,-90,-613.7781884
-150,-75,-613.7794841
-150,-60,-613.7809925
-150,-45,-613.7820398
-150,-30,-613.7816751
-150,-15,-613.783476
-150,0,-613.7855434
-150,15,-613.7868322
-150,30,-613.7872214
-150,45,-613.7867618
-150,60,-613.7858952
-150,75,-613.7855907
-150,90,-613.7860792
-150,105,-613.7875086
-150,120,-613.7892638
-150,135,-613.7907429
-150,150,-613.7916281
-150,165,-613.7913574
-150,180,-613.789932
-135,-180,-613.789016
-135,-165,-613.7866193
-135,-150,-613.78377
-135,-135,-613.7809761
-135,-120,-613.7787982
-135,-105,-613.7778496
-135,-90,-613.7781803
-135,-75,-613.7792747
-135,-60,-613.7804487
