-180,-180,-669.1294042
-180,-165,-669.1281175
-180,-150,-669.1266556
-180,-135,-669.1251284
-180,-120,-669.1236316
-180,-105,-669.1222901
-180,-90,-669.1215712
-180,-75,-669.1220868
-180,-60,-669.1234239
-180,-45,-669.1243661
-180,-30,-669.1240744
-180,-15,-669.1191357
-180,0,-669.1217189
-180,15,-669.1239855
-180,30,-669.1255259
-180,45,-669.1261389
-180,60,-669.1261481
-180,75,-669.1262547
-180,90,-669.1270831
-180,105,-669.1285863
-180,120,-669.1302765
-180,135,-669.131566
-180,150,-669.1319724
-180,165,-669.1312267
-180,180,-669.1294042
-165,-180,-669.1307944
-165,-165,-669.1294497
-165,-150,-669.128052
-165,-135,-669.1263841
-165,-120,-669.1247016
-165,-105,-669.1233209
-165,-90,-669.1227509
-165,-75,-669.1234261
-165,-60,-669.1244291
-165,-45,-669.1250606
-165,-30,-669.1245244
-165,-15,-669.123107
-165,0,-669.1253257
-165,15,-669.1271391
-165,30,-669.1282796
-165,45,-669.1285985
-165,60,-669.128435
-165,75,-669.1284683
-165,90,-669.1291967
-165,105,-669.1304796
-165,120,-669.1318648
-165,135,-669.1329023
-165,150,-669.1331777
-165,165,-669.132453
-165,180,-669.1307944
-150,-180,-669.1309529
-150,-165,-669.1292394
-150,-150,-669.1278765
-150,-135,-669.1261827
-150,-120,-669.1246035
-150,-105,-669.1234723
-150,-90,-669.12332
-150,-75,-669.123884
-150,-60,-669.1244551
-150,-45,-669.1209964
-150,-30,-669.1234835
-150,-15,-669.1254532
-150,0,-669.127287
-150,15,-669.128692
-150,30,-669.1295002
-150,45,-669.1296227
-150,60,-669.1294536
-150,75,-669.1295816
-150,90,-669.130226
-150,105,-669.1312485
-150,120,-669.1323265
-150,135,-669.1330958
-150,150,-669.1332654
-150,165,-669.1325707
-150,180,-669.1309529
-135,-180,-669.1300073
-135,-165,-669.1277488
-135,-150,-669.1262111
-135,-135,-669.1246049
-135,-120,-669.1234088
-135,-105,-669.1228764
-135,-90,-669.1231048
-135,-75,-669.1235265
-135,-60,-669.1236179
-135,-45,-669.1225318
-135,-30,-669.1212984
-135,-15,-669.1269191
-135,0,-669.1283661
-135,15,-669.1293584
-135,30,-669.1298753
-135,45,-669.1299489
-135,60,-669.1300206
-135,75,-669.1303771
-135,90,-669.1308939
-135,105,-669.1316057
-135,120,-669.1323856
-135,135,-669.132895
-135,150,-669.1328135
-135,165,-669.1318681
-135,180,-669.1300073
-120,-180,-669.1285921
-120,-165,-669.1259794
-120,-150,-669.1243995
-120,-135,-669.1231055
-120,-120,-669.1224348
-120,-105,-669.1223952
-120,-90,-669.122665
-120,-75,-669.1229129
-120,-60,-669.1226559
-120,-45,-669.1237861
-120,-30,-669.1261145
-120,-15,-669.1278444
-120,0,-669.1288568
-120,15,-669.1294451
-120,30,-669.1297547
-120,45,-669.1301684
-120,60,-669.1310502
-120,75,-669.1317168
-120,90,-669.1318592
-120,105,-669.1319939
-120,120,-669.1323642
-120,135,-669.1325808
-120,150,-669.1321648
-120,165,-669.1308384
-120,180,-669.1285921
-105,-180,-669.1271903
-105,-165,-669.124663
-105,-150,-669.1233277
-105,-135,-669.1223557
-105,-120,-669.1218711
-105,-105,-669.1218002
-105,-90,-669.12196
-105,-75,-669.1220771
-105,-60,-669.1222779
-105,-45,-669.1247321
-105,-30,-669.1269992
-105,-15,-669.1283673
-105,0,-669.1288488
-105,15,-669.1289855
-105,30,-669.129535
-105,45,-669.1314603
-105,60,-669.133376
-105,75,-669.1341213
-105,90,-669.1335174
-105,105,-669.1326349
-105,120,-669.1323026
-105,135,-669.1321131
-105,150,-669.131363
-105,165,-669.1297064
-105,180,-669.1271903
-90,-180,-669.1260799
-90,-165,-669.1237428
-90,-150,-669.1224679
-90,-135,-669.1213914
-90,-120,-669.1207245
-90,-105,-669.1205088
-90,-90,-669.1206391
-90,-75,-669.1208458
-90,-60,-669.1226344
-90,-45,-669.1255982
-90,-30,-669.1277348
-90,-15,-669.1285487
-90,0,-669.1283567
-90,15,-669.1282816
-90,30,-669.1306378
-90,45,-669.1335286
-90,60,-669.1355712
-90,75,-669.1362767
-90,90,-669.1353341
-90,105,-669.133537
-90,120,-669.1322164
-90,135,-669.1314472
-90,150,-669.130413
-90,165,-669.1286136
-90,180,-669.1260799
-75,-180,-669.1250152
-75,-165,-669.122389
-75,-150,-669.1206149
-75,-135,-669.1190041
-75,-120,-669.1180163
-75,-105,-669.1178829
-75,-90,-669.1183547
-75,-75,-669.1194628
-75,-60,-669.1230537
-75,-45,-669.1263764
-75,-30,-669.1280894
-75,-15,-669.127976
-75,0,-669.127033
-75,15,-669.1284611
-75,30,-669.1311514
-75,45,-669.13356
-75,60,-669.1353356
-75,75,-669.1361864
-75,90,-669.1355751
-75,105,-669.1337987
-75,120,-669.1320007
-75,135,-669.130745
-75,150,-669.1295199
-75,165,-669.1276822
-75,180,-669.1250152
-60,-180,-669.1229484
