path_exists,path_length,height,total_cost,smoothness,max_step
True,115,0.33245474376713047,0.39755889080583645,0.07590617460542709,0.00881655565455311
True,158,0.3388792991455269,0.5162517420267961,0.11333662931254479,0.00881655565455311
True,107,0.33337280967277916,0.36201631790710914,0.031663757772090184,0.008569832207026978
True,149,0.25589034542483136,0.2687538862205492,0.04013048832906829,0.004212392220040058
True,130,0.2469312599345376,0.2475749836227486,0.0294730979135496,0.004212392220040058
True,101,0.2338655359686714,0.24638230039976383,0.030636991467768954,0.00560908929059914
True,188,0.35890146618154034,0.4567636884831288,0.14834881208066514,0.009065570916756527
True,101,0.10859406297360939,0.19369892545518475,0.0794864233499267,0.004941695700538221
True,10,0.0015499648276212008,0.0015499648276212008,0.0005444358386791203,0.0002732219328430328
True,106,0.33245474376713047,0.38939982616527624,0.05721377369910413,0.00881655565455311
True,143,0.33245474376713047,0.3975588908058364,0.17395010653597695,0.01270073260767518
True,85,0.16807493289179473,0.23658047219590736,0.11663257166847182,0.008782979940620439
True,150,0.0919220395408531,0.19263269074686773,0.07933149884092472,0.0037786092795010773
True,222,0.11710467798681207,0.3422183947626311,0.12591693698674333,0.013298883312426901
True,217,0.11384394636959899,0.33895766314541803,0.14347120949066702,0.012436176830477652
True,143,0.16172763143656932,0.3056169422048268,0.05591482847895399,0.00771134227287662
True,158,0.08738601405751295,0.261754038384408,0.08587344700957655,0.004142577868958441
True,193,0.314685565775882,0.39157228685219925,0.09352746284874892,0.006877299072190757
True,149,0.3340047085947517,0.39910885563345766,0.17572775947494354,0.01270073260767518
True,12,0.00815906464056021,0.00815906464056021,0.0017207097333977184,0.0011115837317316468
True,186,0.3388792991455269,0.5162517420267962,0.24536324747663124,0.012886921319012118
True,80,0.16807493289179473,0.23658047219590736,0.05398889166298662,0.007260602084428525
True,181,0.1914914331285352,0.31132554196782747,0.09686137658858154,0.007260602084428525
True,206,0.2173115499372126,0.4126957620339209,0.09574721054544083,0.006233704721510941
True,193,0.2173115499372126,0.3973327869478499,0.08576689519843675,0.006233704721510941
True,180,0.21529519983340592,0.42430979342578656,0.07094362065668669,0.00771134227287662
True,87,0.1433035935586385,0.19334914637806752,0.05303631992105182,0.006233704721510941
True,234,0.3153900986534929,0.510265138073159,0.10546370340751987,0.007260602084428525
True,200,0.3404292639731481,0.5178017068544173,0.24361442573872077,0.012886921319012118
True,80,0.16807493289179473,0.22842140755534715,0.03154581839421325,0.007260602084428525
True,217,0.33337280967277916,0.36201631790710914,0.11233426358210273,0.0056369096673198615
True,154,0.0919220395408531,0.19263269074686773,0.09732473145034004,0.004107303569350518
True,193,0.1914914331285352,0.31132554196782747,0.18866295869668176,0.008782979940620439
True,78,0.11663928439455323,0.17157607197977082,0.04722764354796499,0.011240562561390888
True,70,0.11337855277734016,0.16831534036255774,0.0745857139787468,0.011222984750976384
True,69,0.13831731748608778,0.19441945448433123,0.07294312533544353,0.010339708100852607
True,148,0.16534217568155052,0.28699429380460373,0.12054975622428454,0.005682411543477817
True,197,0.30988360918074515,0.33852711741507513,0.12374810466587258,0.0056369096673198615
True,223,0.33492277450040037,0.36356628273473035,0.11688038296057572,0.0056369096673198615
True,141,0.08376297490029289,0.18447362610630752,0.08843750622990926,0.0037786092795010773
True,242,0.25589034542483136,0.2687538862205492,0.18271575135440532,0.004080685642627015
True,222,0.11710467798681207,0.3422183947626311,0.12397430729444822,0.008231901068693148
True,223,0.2173115499372126,0.4126957620339209,0.1557343532953131,0.005324622734756257
True,82,0.11663928439455323,0.17157607197977082,0.07616742362645376,0.008231901068693148
True,26,0.012863540795717832,0.022466349974222588,0.009362001305024847,0.002758825437001289
True,85,0.034541573887252375,0.10450836486784204,0.05803607455917553,0.00590786849738692
True,174,0.13790594974452364,0.2923807093226494,0.12088777904025658,0.005324622734756257
True,216,0.23240114493279734,0.24526468572851512,0.15887777610921908,0.006771806821416176
True,243,0.25744031025245256,0.2703038510481704,0.19238952368725437,0.004080685642627015
True,209,0.11710467798681207,0.3340593301220709,0.10687225026417344,0.008231901068693148
True,241,0.2469312599345376,0.2475749836227486,0.15782459237453517,0.004042689815988307
True,209,0.11384394636959899,0.33895766314541803,0.14016663170062255,0.011315404929610418
True,212,0.2173115499372126,0.3973327869478499,0.15013490284815842,0.005324622734756257
True,66,0.11337855277734016,0.16831534036255774,0.08553080785628414,0.011315404929610418
True,23,0.012863540795717832,0.022466349974222588,0.012685976792758152,0.0026676582376007896
True,68,0.031266960609364514,0.08332946227004145,0.05075129860997954,0.00590786849738692
True,161,0.13104606553034032,0.27669753632496513,0.110897868072247,0.005466050452414883
True,211,0.2234420594425036,0.2240857831307146,0.14432176826705106,0.006771806821416176
True,243,0.2484812247621588,0.2491249484503698,0.14887031172457407,0.004080685642627015
True,196,0.11384394636959899,0.3307985985048578,0.12306457467034776,0.011315404929610418
True,184,0.2338655359686714,0.24638230039976383,0.14548825061759277,0.007559865479919686
True,169,0.16172763143656932,0.3056169422048268,0.10495489129105137,0.00771134227287662
True,206,0.21529519983340592,0.42430979342578656,0.1807997986074559,0.009122610522585728
True,81,0.13831731748608778,0.19441945448433123,0.09915763489122434,0.00781975408911495
True,86,0.034541573887252375,0.10450836486784204,0.058593527975610155,0.00590786849738692
True,69,0.031266960609364514,0.08332946227004145,0.05104322393757879,0.00590786849738692
True,186,0.18066355500342296,0.33618355983878684,0.13797634108269938,0.007819476920331414
True,165,0.2103763354766374,0.22289309990772982,0.13728857183059076,0.007559865479919686
True,186,0.23541550079629261,0.24793226522738504,0.1487836653176153,0.007559865479919686
True,156,0.16172763143656932,0.2974578775642666,0.08785283426077659,0.00771134227287662
True,231,0.35890146618154034,0.4567636884831288,0.1838478842202158,0.006545259106393919
True,156,0.08738601405751295,0.261754038384408,0.08587875177553761,0.004142577868958441
True,97,0.1433035935586385,0.19334914637806752,0.11939391007959957,0.005977120835672256
True,151,0.16534217568155052,0.28699429380460373,0.0825344872381032,0.006397526578284185
True,153,0.13790594974452364,0.2923807093226494,0.07444766551068871,0.005324622734756257
True,136,0.13104606553034032,0.27669753632496513,0.061571548933095466,0.005466050452414883
True,125,0.18066355500342296,0.3361835598387869,0.05423806121816657,0.008189336504551059
True,201,0.33541226568950633,0.4332744879910948,0.1787895930643843,0.006545259106393919
True,239,0.36045143100916155,0.45831365331075,0.1884445856856044,0.006545259106393919
True,158,0.08738601405751295,0.2535949737438478,0.06596118538837215,0.004142577868958441
True,96,0.10859406297360939,0.19369892545518475,0.06987888607307548,0.006601333547643223
True,186,0.314685565775882,0.39157228685219925,0.10760652940845021,0.006877299072190757
True,222,0.3153900986534929,0.5102651380731589,0.16513756684010927,0.014199416199154713
True,179,0.30988360918074515,0.33852711741507513,0.05665810705232284,0.006601333547643223
True,120,0.23240114493279734,0.24526468572851517,0.038459655579196075,0.006833658785643987
True,101,0.2234420594425036,0.2240857831307146,0.026555794024679353,0.006833658785643987
True,82,0.2103763354766374,0.22289309990772982,0.03769113100248979,0.006601333547643223
True,124,0.33541226568950633,0.43327448799109475,0.11596867301553836,0.009643673992418528
True,102,0.11014402780123059,0.19524889028280595,0.06335306494708623,0.006601333547643223
True,177,0.314685565775882,0.38341322221163904,0.08891412850212725,0.006877299072190757
True,9,0.0015499648276212008,0.0015499648276212008,0.000463979154956222,0.00029164319915937385
True,119,0.3340047085947517,0.39910885563345766,0.095331857759952,0.00881655565455311
True,162,0.3404292639731481,0.5178017068544174,0.1327623124670697,0.00881655565455311
True,116,0.33492277450040037,0.36356628273473035,0.03879266140521274,0.008569832207026978
True,144,0.25744031025245256,0.2703038510481704,0.049053969271053835,0.004199878466073961
True,125,0.2484812247621588,0.24912494845036978,0.03839657885553514,0.004199878466073961
True,95,0.23541550079629261,0.24793226522738507,0.035065123773218125,0.00560908929059914
True,180,0.36045143100916155,0.45831365331075,0.14533098128613753,0.008866600112146461
True,84,0.11014402780123059,0.19524889028280595,0.0654283035573426,0.0062242792875695785
True,110,0.3340047085947517,0.39094979099289745,0.07663945685362904,0.00881655565455311
True,141,0.33245474376713047,0.38939982616527624,0.17613506482255653,0.01270073260767518
True,12,0.00815906464056021,0.00815906464056021,0.002955621747926962,0.0013975240552490664
True,95,0.16807493289179473,0.22842140755534715,0.11827051580360512,0.008782979940620439
True,142,0.08376297490029289,0.18447362610630752,0.08206083312825119,0.0037786092795010773
True,211,0.11710467798681207,0.3340593301220709,0.13044502999060026,0.013298883312426901
True,206,0.11384394636959899,0.3307985985048578,0.14799930249452395,0.012436176830477652
True,141,0.16172763143656932,0.2974578775642666,0.05616564052029857,0.00771134227287662
True,170,0.08738601405751295,0.2535949737438478,0.09246134772354286,0.004142577868958441
True,189,0.314685565775882,0.38341322221163904,0.08942497284614964,0.006877299072190757
True,150,0.3340047085947517,0.39094979099289745,0.17686234063323225,0.01270073260767518
True,161,0.16240677251480606,0.18680872828871647,0.08807719914471468,0.008163221215750055
True,272,0.22875521656040426,0.3978828648072166,0.15826548709162425,0.00713334215649275
True,138,0.057074926228952196,0.09517794826003628,0.046293499116065645,0.0027861139487665304
True,113,0.1557446719895378,0.18616007916919103,0.09658942927580053,0.022747852331380464
True,260,0.22875521656040426,0.29928101422944897,0.09462489450528401,0.00713334215649275
True,137,0.0756424423000703,0.12477892471699845,0.07750123436547846,0.005528540862149094
True,27,0.041748226225791274,0.041748248912640375,0.023055906376118335,0.005070311776179892
True,21,0.0058946846918535994,0.008252369598612919,0.005220312369365515,0.0010763034899517535
True,97,0.31348335307697134,0.32425911681112723,0.0495959424703485,0.008059807518157935
True,160,0.16240677251480606,0.18680872828871647,0.09852323386115044,0.007805268676839894
True,187,0.15035383646554468,0.23259474947344727,0.11409010856976995,0.009639584291450176
True,126,0.11463837335274149,0.11966128418329866,0.05197309820603033,0.006417552510517482
True,55,0.03201171591086635,0.0870162945447707,0.08320184186252352,0.022747852331380464
True,122,0.0822409130079026,0.12300382888411149,0.04981519691311556,0.009639584291450176
True,189,0.21704456920970722,0.22311001882701761,0.1149550352453923,0.007805268676839894
True,215,0.20189594360144392,0.2079613932187543,0.11047680195499193,0.007805268676839894
True,147,0.1641956172032635,0.18152773804432593,0.10919471412078346,0.007805268676839894
True,166,0.16435618921370138,0.19838001969817826,0.05333124443716006,0.0036332591054089036
True,279,0.22875521656040426,0.3978828648072166,0.14323094768900085,0.005382980795644476
True,116,0.15035383646554468,0.23259474947344727,0.07759351627378289,0.008324227582777177
True,188,0.1809868173983397,0.32047109573213717,0.1716763898601161,0.006764184098486031
True,114,0.15966489959829772,0.3087799659836059,0.12378897721810844,0.02386584351441212
True,57,0.12001987413050935,0.13044882767168292,0.01722361655130525,0.004812687050332998
